Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open,Security Code,year,month,week
2023-06-30,2540.05,2556.7,2533.0,2550.7,2542.41083899194,289824,19687,736851679.0,176556,60.92,23.7,10.65,500325,2023,6,26
2023-06-28,2516.0,2537.25,2497.7,2529.35,2525.107661649798,171621,13923,433361502.0,116954,68.15,39.55,13.35,500325,2023,6,26
2023-06-27,2501.0,2510.0,2486.4,2495.8,2495.1111118572135,148922,11504,371576937.0,116873,78.48,23.6,-5.2,500325,2023,6,26
2023-06-26,2504.0,2515.9,2489.25,2494.2,2499.7328118837913,197782,16762,494402155.0,133526,67.51,26.65,-9.8,500325,2023,6,26
2023-06-23,2530.0,2532.8,2511.1,2515.25,2521.028400391729,289996,22793,731088152.0,145374,50.13,21.7,-14.75,500325,2023,6,25
2023-06-22,2561.7,2572.9,2532.25,2535.6,2552.037861084064,61620,10185,157256573.0,21315,34.59,40.65,-26.1,500325,2023,6,25
2023-06-21,2556.35,2569.1,2547.95,2563.6,2560.3595812314284,144710,9931,370509635.0,116185,80.29,21.15,7.25,500325,2023,6,25
2023-06-20,2550.5,2564.0,2535.0,2546.75,2545.358236217532,171359,10217,436170042.0,142715,83.28,29.0,-3.75,500325,2023,6,25
2023-06-19,2582.2,2584.0,2543.4,2551.5,2552.2898964763294,165566,10930,422572429.0,115804,69.94,40.6,-30.7,500325,2023,6,25
2023-06-16,2555.6,2581.0,2555.6,2575.4,2572.215594593697,150565,15481,387285641.0,86924,57.73,25.4,19.8,500325,2023,6,24
2023-06-15,2547.05,2561.9,2535.2,2551.55,2549.8802313317397,284440,23638,725287933.0,203451,71.53,26.7,4.5,500325,2023,6,24
2023-06-14,2518.05,2555.0,2516.6,2552.6,2542.876454352765,196737,18495,500277885.0,136961,69.62,38.4,34.55,500325,2023,6,24
2023-06-13,2490.75,2523.3,2486.25,2520.4,2510.701755154276,205509,14771,515971807.0,151807,73.87,37.05,29.65,500325,2023,6,24
2023-06-12,2478.0,2489.0,2465.1,2483.1,2479.2810890944947,75549,9576,187307207.0,36613,48.46,23.9,5.1,500325,2023,6,24
2023-06-09,2495.05,2508.1,2478.05,2481.9,2493.2555765149727,169640,16518,422955876.0,82894,48.86,30.05,-13.15,500325,2023,6,23
2023-06-08,2502.4,2516.0,2491.0,2499.8,2503.3609527717126,136486,11246,341673723.0,59283,43.44,25.0,-2.6,500325,2023,6,23
2023-06-07,2486.1,2499.55,2472.35,2497.55,2484.453338443558,211341,21369,525066853.0,158423,74.96,27.2,11.45,500325,2023,6,23
2023-06-06,2481.3,2490.1,2462.55,2480.25,2471.819147186859,115547,9365,285611287.0,78416,67.86,27.55,-1.05,500325,2023,6,23
2023-06-05,2465.1,2483.7,2458.1,2476.8,2467.927866318292,119029,10689,293754986.0,77617,65.21,25.6,11.7,500325,2023,6,23
2023-06-02,2475.0,2482.8,2451.05,2454.95,2460.344276061013,101224,10332,249045889.0,48389,47.8,31.75,-20.05,500325,2023,6,22
2023-06-01,2478.0,2484.45,2457.95,2462.05,2470.213714342792,240274,19120,593528130.0,172926,71.97,26.5,-15.95,500325,2023,6,22
2023-05-31,2506.95,2508.95,2461.7,2474.7,2482.62169634672,205076,13789,509126127.0,135044,65.85,47.25,-32.25,500325,2023,5,22
2023-05-30,2520.0,2537.45,2513.9,2519.4,2525.411340931284,146443,13232,369828813.0,95343,65.11,23.55,-0.6,500325,2023,5,22
2023-05-29,2519.0,2530.0,2506.95,2519.8,2518.960642558702,416211,26445,1048419128.0,328603,78.95,23.05,0.8,500325,2023,5,22
2023-05-26,2453.6,2510.0,2449.15,2506.55,2489.4536555849586,261121,18211,650048628.0,181784,69.62,60.85,52.95,500325,2023,5,21
2023-05-25,2433.5,2448.45,2415.7,2438.55,2423.7332244862882,186194,9965,451284584.0,124844,67.05,32.75,5.05,500325,2023,5,21
2023-05-24,2446.6,2463.0,2433.3,2437.05,2445.782269195627,154319,8827,377430674.0,127187,82.42,29.7,-9.55,500325,2023,5,21
2023-05-23,2465.0,2468.25,2451.85,2454.1,2458.9722733350854,87497,8510,215152697.0,54480,62.26,16.4,-10.9,500325,2023,5,21
2023-05-22,2430.0,2465.0,2430.0,2454.5,2455.294666148637,144136,15497,353896352.0,79660,55.27,35.0,24.5,500325,2023,5,21
2023-05-19,2432.7,2445.75,2419.55,2442.8,2432.567110058309,54880,7760,133499283.0,22173,40.4,26.2,10.1,500325,2023,5,20
2023-05-18,2454.8,2456.1,2428.0,2433.85,2444.231226791968,56823,7246,138888551.0,17562,30.91,28.1,-20.95,500325,2023,5,20
2023-05-17,2460.35,2463.7,2429.2,2438.8,2444.605073974403,158298,17831,386976094.0,87326,55.17,34.5,-21.55,500325,2023,5,20
2023-05-16,2496.0,2498.0,2451.0,2453.85,2473.509255924512,83298,9390,206038374.0,30828,37.01,47.0,-42.15,500325,2023,5,20
2023-05-15,2486.0,2503.75,2472.6,2488.15,2489.9351599929023,67628,8929,168389335.0,33258,49.18,31.15,2.15,500325,2023,5,20
2023-05-12,2477.0,2488.0,2456.55,2484.1,2471.7393003076822,61427,7470,151831530.0,22702,36.96,31.45,7.1,500325,2023,5,19
2023-05-11,2499.5,2509.0,2473.8,2478.3,2493.187587253414,98850,8888,246451593.0,46792,47.34,35.2,-21.2,500325,2023,5,19
2023-05-10,2485.6,2499.9,2481.5,2496.3,2492.6357700110007,99083,8503,246977830.0,46624,47.06,18.4,10.7,500325,2023,5,19
2023-05-09,2475.0,2486.95,2463.5,2479.15,2476.130052131248,65220,8186,161493202.0,29809,45.71,23.45,4.15,500325,2023,5,19
2023-05-08,2450.95,2483.5,2444.85,2471.35,2467.486986478897,92596,9968,228479425.0,48748,52.65,38.65,20.4,500325,2023,5,19
2023-05-05,2444.0,2461.7,2435.75,2441.3,2447.397039873348,81483,8040,199421253.0,31315,38.43,25.95,-2.7,500325,2023,5,18
2023-05-04,2423.4,2452.25,2414.25,2447.8,2435.682663168845,88436,8704,215402032.0,36028,40.74,38.0,24.4,500325,2023,5,18
2023-05-03,2447.0,2447.0,2413.35,2419.8,2422.4070858830505,89389,8062,216536547.0,38863,43.48,33.65,-27.2,500325,2023,5,18
2023-05-02,2440.0,2446.0,2428.75,2441.05,2438.369699961604,145848,10183,355631344.0,91666,62.85,17.25,1.05,500325,2023,5,18
2023-04-28,2379.85,2424.0,2379.8,2420.2,2406.5881556160944,394972,29566,950534937.0,255989,64.81,44.2,40.35,500325,2023,4,17
2023-04-27,2365.0,2383.0,2364.0,2377.5,2372.3672643753207,85772,8971,203482685.0,36476,42.53,19.0,12.5,500325,2023,4,17
2023-04-26,2379.8,2381.5,2353.85,2362.05,2363.3957423430847,145620,14327,344157688.0,97785,67.15,27.65,-17.75,500325,2023,4,17
2023-04-25,2368.8,2381.0,2350.35,2375.1,2364.5742996675654,92349,9498,218366072.0,44437,48.12,30.65,6.3,500325,2023,4,17
2023-04-24,2365.0,2382.9,2348.7,2357.15,2360.2946794965287,253679,16359,598757194.0,143050,56.39,34.2,-7.85,500325,2023,4,17
2023-04-21,2348.05,2360.85,2338.0,2348.9,2348.413587700233,99384,10350,233394736.0,48300,48.6,22.85,0.85,500325,2023,4,16
2023-04-20,2350.2,2359.0,2333.0,2345.7,2343.265954335685,140197,11701,328518857.0,94883,67.68,26.0,-4.5,500325,2023,4,16
2023-04-19,2337.0,2358.0,2332.25,2351.65,2349.3016953385995,96087,10274,225737352.0,46534,48.43,25.75,14.65,500325,2023,4,16
2023-04-18,2370.7,2376.1,2326.0,2340.05,2340.0299858370936,151805,12554,355228252.0,91577,60.33,50.1,-30.65,500325,2023,4,16
2023-04-17,2415.0,2415.0,2349.2,2366.8,2368.770653325725,294432,21456,697441881.0,140067,47.57,65.8,-48.2,500325,2023,4,16
2023-04-13,2350.0,2365.9,2342.15,2355.65,2355.80678838863,212068,11164,499591234.0,152797,72.05,23.75,5.65,500325,2023,4,15
2023-04-12,2336.3,2368.25,2330.05,2346.4,2349.133187662744,198164,14576,465513629.0,137745,69.51,38.2,10.1,500325,2023,4,15
2023-04-11,2330.0,2341.0,2324.0,2336.3,2332.9258546805063,105010,10121,244980544.0,29701,28.28,17.0,6.3,500325,2023,4,15
2023-04-10,2346.0,2350.4,2321.9,2324.6,2336.128062396496,93595,10420,218649906.0,36654,39.16,28.5,-21.4,500325,2023,4,15
2023-04-06,2320.0,2354.5,2318.05,2341.0,2341.7405041412594,144642,12516,338714030.0,47193,32.63,36.45,21.0,500325,2023,4,14
2023-04-05,2341.75,2346.6,2308.5,2325.5,2325.5234573643406,258000,24490,599985052.0,96146,37.27,38.1,-16.25,500325,2023,4,14
2023-04-03,2345.1,2349.15,2315.0,2331.75,2327.958896435824,214215,23175,498683715.0,96408,45.01,34.15,-13.35,500325,2023,4,14
2023-03-31,2256.0,2343.0,2254.55,2331.05,2313.0957614526974,617169,47619,1427570998.0,382992,62.06,88.45,75.05,500325,2023,3,13
2023-03-29,2241.9,2245.0,2211.25,2235.25,2226.9467210795374,159031,18790,354153564.0,65014,40.88,33.75,-6.65,500325,2023,3,13
2023-03-28,2241.25,2256.0,2237.5,2247.95,2247.29077190946,113718,12073,255557412.0,50126,44.08,18.5,6.7,500325,2023,3,13
2023-03-27,2215.5,2254.0,2200.5,2237.5,2236.780431516012,315446,27743,705583440.0,148838,47.18,53.5,22.0,500325,2023,3,13
2023-03-24,2247.6,2250.0,2198.0,2203.5,2223.041685370561,178216,19626,396181597.0,116177,65.19,52.0,-44.1,500325,2023,3,12
2023-03-23,2270.0,2270.0,2243.75,2247.55,2253.8420173953086,208447,23804,469806607.0,93864,45.03,26.25,-22.45,500325,2023,3,12
2023-03-22,2280.1,2291.3,2270.0,2276.65,2281.065365794458,230717,21747,526280558.0,85350,36.99,21.3,-3.45,500325,2023,3,12
2023-03-21,2222.0,2273.85,2218.0,2270.05,2255.218609789336,441746,34843,996233800.0,215211,48.72,55.85,48.05,500325,2023,3,12
2023-03-20,2223.0,2223.0,2180.0,2201.6,2194.9744448431206,225747,23058,495508896.0,113544,50.3,43.0,-21.4,500325,2023,3,12
2023-03-17,2249.0,2251.55,2212.9,2223.05,2227.243094782421,366281,39612,815796828.0,223404,60.99,38.65,-25.95,500325,2023,3,11
2023-03-16,2237.05,2254.95,2202.3,2226.05,2232.295449529425,253732,25079,566404789.0,141202,55.65,52.65,-11.0,500325,2023,3,11
2023-03-15,2284.9,2299.0,2228.0,2236.85,2260.850027321952,422737,54739,955744958.0,256551,60.69,71.0,-48.05,500325,2023,3,11
2023-03-14,2281.15,2305.0,2269.65,2276.5,2285.2878667338746,329326,34355,752604712.0,167076,50.73,35.35,-4.65,500325,2023,3,11
2023-03-13,2328.0,2344.0,2275.0,2284.9,2308.909565275193,330968,41618,764175181.0,167655,50.66,69.0,-43.1,500325,2023,3,11
2023-03-10,2343.3,2343.3,2315.2,2323.15,2323.879320261128,337306,40621,783858438.0,176502,52.33,28.1,-20.15,500325,2023,3,10
2023-03-09,2419.9,2419.9,2356.15,2360.15,2375.79850743778,299619,32243,711834373.0,190003,63.41,63.75,-59.75,500325,2023,3,10
2023-03-08,2401.2,2420.0,2386.45,2417.55,2405.2107394119175,99782,10958,239996738.0,34437,34.51,33.55,16.35,500325,2023,3,10
2023-03-06,2395.0,2424.5,2395.0,2407.8,2415.324643020012,168847,12288,407820320.0,105483,62.47,29.5,12.8,500325,2023,3,10
2023-03-03,2344.0,2393.0,2340.9,2385.05,2369.159341297401,266949,24156,632444717.0,147277,55.17,52.1,41.05,500325,2023,3,9
2023-03-02,2331.0,2350.8,2321.7,2327.85,2334.625639087716,89972,11652,210050938.0,53628,59.61,29.1,-3.15,500325,2023,3,9
2023-03-01,2342.2,2345.5,2323.55,2343.25,2336.848207093248,183724,20479,429335100.0,117417,63.91,21.95,1.05,500325,2023,3,9
2023-02-28,2375.0,2375.0,2314.75,2321.95,2337.221583093244,300235,33265,701715722.0,165915,55.26,60.25,-53.05,500325,2023,2,9
2023-02-27,2378.6,2389.0,2352.45,2369.1,2366.7316147647643,247454,25999,585657205.0,132631,53.6,36.55,-9.5,500325,2023,2,9
2023-02-24,2375.0,2395.6,2368.65,2385.8,2380.9621349889844,249650,21011,594407197.0,163033,65.3,26.95,10.8,500325,2023,2,8
2023-02-23,2376.0,2394.95,2361.5,2367.55,2381.3364115797235,265844,21661,633063997.0,152291,57.29,33.45,-8.45,500325,2023,2,8
2023-02-22,2428.0,2430.0,2376.05,2379.0,2395.3240436950214,288637,27831,691379146.0,168373,58.33,53.95,-49.0,500325,2023,2,8
2023-02-21,2421.0,2446.0,2412.45,2434.5,2428.7152300118014,167774,17513,407475269.0,72052,42.95,33.55,13.5,500325,2023,2,8
2023-02-20,2440.4,2449.45,2410.35,2415.3,2429.073843235553,221415,18929,537833385.0,171934,77.65,39.1,-25.1,500325,2023,2,8
2023-02-17,2424.95,2446.9,2410.6,2439.85,2432.86018917082,105936,12547,257727477.0,46591,43.98,36.3,14.9,500325,2023,2,7
2023-02-16,2450.0,2463.0,2425.0,2429.65,2439.741076836549,277368,17228,676706103.0,169611,61.15,38.0,-20.35,500325,2023,2,7
2023-02-15,2387.8,2437.0,2375.0,2430.1,2417.9647698544154,367072,18591,887567164.0,252104,68.68,62.0,42.3,500325,2023,2,7
2023-02-14,2325.2,2381.0,2324.0,2377.4,2361.6053936689286,124813,13863,294759054.0,45552,36.5,57.0,52.2,500325,2023,2,7
2023-02-13,2337.6,2350.0,2314.05,2322.75,2325.6272233077807,79836,10263,185668775.0,32766,41.04,35.95,-14.85,500325,2023,2,7
2023-02-10,2357.0,2357.0,2321.6,2336.35,2332.695785356352,127318,13086,296994162.0,59480,46.72,35.4,-20.65,500325,2023,2,6
