Security Code,Security Name,Close(),Market Capitalization( Cr.)
500325,RELIANCE INDUSTRIES LTD.,2638.35,1785005.19
532540,TATA CONSULTANCY SERVICES LTD.,3322.85,1215847.89
500180,HDFC Bank Ltd,1674.75,936486.51
532174,ICICI BANK LTD.,959.4,671258.64
500696,HINDUSTAN UNILEVER LTD.,2757.8,647970.28
500875,ITC LTD.,473.75,588777.34
500209,INFOSYS LTD.,1343.9,557701.66
500112,STATE BANK OF INDIA,592.3,528604.76
500010,HOUSING DEVELOPMENT FINANCE CORP.LTD.,2795.6,517584.79
532454,BHARTI AIRTEL LTD.,870.15,485653.38
500034,Bajaj Finance Limited,7771.45,470886.95
543526,Life Insurance Corporation of India,628.05,397241.48
500247,KOTAK MAHINDRA BANK LTD.,1877.25,372937.32
500510,LARSEN & TOUBRO LTD.,2487.8,349678.39
500820,ASIAN PAINTS LTD.,3395.9,325733.98
532281,HCL TECHNOLOGIES LTD.,1180.4,320321.03
532215,AXIS BANK LTD.,981.6,302307.17
532500,MARUTI SUZUKI INDIA LTD.,9854.7,297690.84
500114,Titan Company Limited,3105.7,275719.75
512599,ADANI ENTERPRISES LTD.,2403.4,273987.87
532978,BAJAJ FINSERV LTD.,1620.1,258052.03
524715,SUN PHARMACEUTICAL INDUSTRIES LTD.,1041.8,249956.86
540376,Avenue Supermarts Ltd,3818.65,248492.18
532538,ULTRATECH CEMENT LTD.,8405.95,242668.3
500790,NESTLE INDIA LTD.,23096.55,222687.04
507685,WIPRO LTD.,396.05,217385.59
500312,Oil and Natural Gas Corporation Ltd,165.4,208077.82
500570,TATA MOTORS LTD.,600.8,199555.15
500520,MAHINDRA & MAHINDRA LTD.,1548.7,192585.31
500228,JSW STEEL LTD.,795.55,192301.97
532555,NTPC LTD.,196.55,190587.97
532898,POWER GRID CORPORATION OF INDIA LTD.,262.85,183349.78
532921,ADANI PORTS AND SPECIAL ECONOMIC ZONE LTD.,740.05,159861.08
540005,LTIMindtree Ltd,5178.9,153236.07
541450,Adani Green Energy Ltd,961.3,152273.04
533278,COAL INDIA LTD.,234.55,144546.79
540777,HDFC Life Insurance Company Ltd,660.95,142083.06
500188,HINDUSTAN ZINC LTD.,336.15,142034.1
530965,INDIAN OIL CORPORATION LTD.,98.6,139235.41
532977,BAJAJ AUTO LTD.,4917.4,139141.45
500470,TATA STEEL LTD.,112.65,137657.26
500331,PIDILITE INDUSTRIES LTD.,2649.4,134681.0
500550,SIEMENS LTD.,3734.25,132984.21
540719,SBI Life Insurance Company Ltd,1292.7,129394.83
532868,DLF LTD.,513.6,127132.01
541154,Hindustan Aeronautics Ltd,3731.4,124773.35
500825,BRITANNIA INDUSTRIES LTD.,5168.75,124498.8
500300,GRASIM INDUSTRIES LTD.,1767.9,116404.22
532755,TECH MAHINDRA LTD.,1178.5,114868.33
532424,GODREJ CONSUMER PRODUCTS LTD.,1079.1,110359.89
532187,INDUSIND BANK LTD.,1389.3,107812.86
532134,BANK OF BARODA,205.4,106219.78
540180,Varun Beverages Ltd,814.0,105749.71
500096,DABUR INDIA LTD.,591.65,104842.43
500295,Vedanta Limited,279.95,104062.92
539448,InterGlobe Aviation Ltd,2698.15,104026.39
532488,DIVI'S LABORATORIES LTD.,3735.9,99176.41
511243,Cholamandalam Investment and Finance Company Ltd,1165.05,95780.45
500440,HINDALCO INDUSTRIES LTD.,425.85,95696.78
533096,ADANI POWER LTD.,246.45,95054.26
500002,ABB India Limited,4396.45,93164.46
500049,BHARAT ELECTRONICS LTD.,124.8,91226.04
505200,EICHER MOTORS LTD.,3222.9,88197.39
500387,SHREE CEMENT LTD.,24211.85,87358.17
500124,DR.REDDY'S LABORATORIES LTD.,5231.65,87131.76
539254,Adani Transmission Ltd,769.6,85848.32
500425,AMBUJA CEMENTS LTD.,431.55,85690.52
500547,BHARAT PETROLEUM CORPORATION LTD.,393.1,85273.33
540133,ICICI Prudential Life Insurance Company Ltd,576.15,82899.83
500087,CIPLA LTD.,1021.0,82419.11
517354,HAVELLS INDIA LTD.,1309.0,82010.12
543066,SBI Cards and Payment Services Ltd,841.35,79622.01
500490,BAJAJ HOLDINGS & INVESTMENT LTD.,7148.2,79554.83
500800,Tata Consumer Products Ltd,844.9,78492.19
508869,APOLLO HOSPITALS ENTERPRISE LTD.,5281.1,75934.12
500400,TATA POWER CO.LTD.,229.55,73349.02
532155,GAIL (INDIA) LTD.,110.85,72884.98
542066,Adani Total Gas Ltd,648.6,71333.68
543287,Macrotech Developers Ltd,727.35,70113.29
532432,UNITED SPIRITS LTD.,943.7,68640.1
543904,Mankind Pharma Ltd,1707.2,68388.46
531642,MARICO LTD.,527.7,68240.97
503806,SRF LTD.,2277.4,67507.79
511218,Shriram Finance Ltd,1771.75,66411.71
509480,BERGER PAINTS INDIA LTD.,680.55,66110.16
540716,ICICI Lombard General Insurance Company Ltd,1339.5,65796.39
532461,PUNJAB NATIONAL BANK,58.97,64931.96
500420,TORRENT PHARMACEUTICALS LTD.,1898.6,64254.37
543320,Zomato Ltd,74.72,64103.69
500182,HERO MOTOCORP LTD.,3171.25,63374.78
500116,IDBI BANK LTD.,58.42,62815.53
532286,JINDAL STEEL & POWER LTD.,612.5,62480.4
532343,TVS MOTOR COMPANY LTD.,1314.6,62454.95
500251,TRENT LTD.,1754.7,62377.38
517334,Samvardhana Motherson International Ltd,91.52,62016.56
540762,Tube Investments of India Ltd,3204.85,61937.18
543220,Max Healthcare Institute Ltd,614.55,59698.45
500093,CG Power and Industrial Solutions Ltd,390.05,59568.4
532321,Zydus Lifesciences Ltd,587.2,59436.63
532483,CANARA BANK,326.0,59140.65
